,File,ID,File_Timestamp,File_Date,File_Time,S3_Timestamp,S3_Date,S3_Time,Time_Bin
141,Analysis/Voice/2025/03/08/e630c206-987c-47c2-8b23-2329d0b13ec6_analysis_2025-03-08T23:58:16Z.json,e630c206-987c-47c2-8b23-2329d0b13ec6,2025-03-08 23:58:16,2025-03-08,23:58:16,2025-03-09 00:04:04+00:00,2025-03-09,00:04:04,2025-03-08 22:00:00
129,Analysis/Voice/2025/03/08/ce79464e-86fd-4384-802b-ae13e09ba949_analysis_2025-03-08T23:22:44Z.json,ce79464e-86fd-4384-802b-ae13e09ba949,2025-03-08 23:22:44,2025-03-08,23:22:44,2025-03-08 23:30:13+00:00,2025-03-08,23:30:13,2025-03-08 22:00:00
133,Analysis/Voice/2025/03/08/d7e0a6cc-ec73-43bf-84ce-b46efc383d22_analysis_2025-03-08T23:14:27Z.json,d7e0a6cc-ec73-43bf-84ce-b46efc383d22,2025-03-08 23:14:27,2025-03-08,23:14:27,2025-03-08 23:19:50+00:00,2025-03-08,23:19:50,2025-03-08 22:00:00
60,Analysis/Voice/2025/03/08/59ca2f0c-cf2e-4639-a17f-72ab65cf08fa_analysis_2025-03-08T23:08:16Z.json,59ca2f0c-cf2e-4639-a17f-72ab65cf08fa,2025-03-08 23:08:16,2025-03-08,23:08:16,2025-03-08 23:12:59+00:00,2025-03-08,23:12:59,2025-03-08 22:00:00
145,Analysis/Voice/2025/03/08/ef86d123-3b8c-4e30-a6f8-1cc6dbe3e628_analysis_2025-03-08T23:06:14Z.json,ef86d123-3b8c-4e30-a6f8-1cc6dbe3e628,2025-03-08 23:06:14,2025-03-08,23:06:14,2025-03-08 23:10:21+00:00,2025-03-08,23:10:21,2025-03-08 22:00:00
11,Analysis/Voice/2025/03/08/12f8583f-b4d3-4f7c-867d-d8045da27021_analysis_2025-03-08T22:43:22Z.json,12f8583f-b4d3-4f7c-867d-d8045da27021,2025-03-08 22:43:22,2025-03-08,22:43:22,2025-03-08 22:56:47+00:00,2025-03-08,22:56:47,2025-03-08 22:00:00
16,Analysis/Voice/2025/03/08/18972bf1-faa9-4d2b-8644-03aea19da9ba_analysis_2025-03-08T22:37:41Z.json,18972bf1-faa9-4d2b-8644-03aea19da9ba,2025-03-08 22:37:41,2025-03-08,22:37:41,2025-03-08 22:45:39+00:00,2025-03-08,22:45:39,2025-03-08 22:00:00
7,Analysis/Voice/2025/03/08/0ae1e19b-dd40-4655-9e13-14140d3ca95f_analysis_2025-03-08T22:26:31Z.json,0ae1e19b-dd40-4655-9e13-14140d3ca95f,2025-03-08 22:26:31,2025-03-08,22:26:31,2025-03-08 22:30:39+00:00,2025-03-08,22:30:39,2025-03-08 22:00:00
42,Analysis/Voice/2025/03/08/3b1b94c6-ab26-4b35-8bf6-54cf2b52182a_analysis_2025-03-08T22:11:17Z.json,3b1b94c6-ab26-4b35-8bf6-54cf2b52182a,2025-03-08 22:11:17,2025-03-08,22:11:17,2025-03-08 22:17:34+00:00,2025-03-08,22:17:34,2025-03-08 22:00:00
68,Analysis/Voice/2025/03/08/6865c252-821f-440c-a3e3-5ba58da70045_analysis_2025-03-08T21:59:07Z.json,6865c252-821f-440c-a3e3-5ba58da70045,2025-03-08 21:59:07,2025-03-08,21:59:07,2025-03-08 22:04:38+00:00,2025-03-08,22:04:38,2025-03-08 20:00:00
152,Analysis/Voice/2025/03/08/f5cd4507-46df-4579-aba9-a4da4616307a_analysis_2025-03-08T21:05:55Z.json,f5cd4507-46df-4579-aba9-a4da4616307a,2025-03-08 21:05:55,2025-03-08,21:05:55,2025-03-08 21:11:00+00:00,2025-03-08,21:11:00,2025-03-08 20:00:00
40,Analysis/Voice/2025/03/08/3841b54d-bcdb-4580-8de6-2a90cb616e24_analysis_2025-03-08T21:03:12Z.json,3841b54d-bcdb-4580-8de6-2a90cb616e24,2025-03-08 21:03:12,2025-03-08,21:03:12,2025-03-08 21:09:19+00:00,2025-03-08,21:09:19,2025-03-08 20:00:00
