CONTACT_ID,SPEAKER_TAG,CAPTION,CALL_LANGUAGE,NEGATIVE,NEUTRAL,POSITIVE,SENTIMENT_LABLE,START_TIME_SECOND,END_TIME_SECOND,TIME_SPOKEN_SECOND,TIME_SILENCE_SECOND,LOAD_DATE
9ab2737e-b5fc-4a6e-9f3d-e6b8b4af68bc,AGENT,"Hi, this is Alvara from Position Solar. How may I assist you today?",en-US,1.0,79.98,19.02,Neutral,1,5,4,1,2025-04-08 02:33:44.539921
9ab2737e-b5fc-4a6e-9f3d-e6b8b4af68bc,CUSTOMER,I was gonna make a payment and I calling too late?,en-US,73.59,25.31,1.1,Negative,6,9,3,1,2025-04-08 02:33:44.539921
9ab2737e-b5fc-4a6e-9f3d-e6b8b4af68bc,AGENT,"Oh, almost there, but, uh, you can be the last one.",en-US,3.59,53.25,43.16,Neutral,10,14,4,1,2025-04-08 02:33:44.539921
9ab2737e-b5fc-4a6e-9f3d-e6b8b4af68bc,CUSTOMER,"I'll call, I'll call back tomorrow.",en-US,1.81,70.14,28.05,Neutral,15,17,2,1,2025-04-08 02:33:44.539921
9ab2737e-b5fc-4a6e-9f3d-e6b8b4af68bc,AGENT,"No, it's OK. I can help you. No problem, no problem at all.",en-US,2.13,19.53,78.34,Positive,18,21,3,1,2025-04-08 02:33:44.539921
9ab2737e-b5fc-4a6e-9f3d-e6b8b4af68bc,AGENT,"Let me assist you. So is for, can I have your full name on the account?",en-US,1.96,88.74,9.31,Neutral,22,26,4,3,2025-04-08 02:33:44.539921
9ab2737e-b5fc-4a6e-9f3d-e6b8b4af68bc,CUSTOMER,Betty Galloway.,en-US,4.99,86.77,8.24,Neutral,29,31,2,0,2025-04-08 02:33:44.539921
9ab2737e-b5fc-4a6e-9f3d-e6b8b4af68bc,AGENT,"Thank you, Ms. Galway. Can I have the full address on the system?",en-US,0.76,39.45,59.8,Positive,31,35,4,3,2025-04-08 02:33:44.539921
9ab2737e-b5fc-4a6e-9f3d-e6b8b4af68bc,CUSTOMER,I didn't understand you.,en-US,73.07,25.47,1.47,Negative,38,39,1,0,2025-04-08 02:33:44.539921
9ab2737e-b5fc-4a6e-9f3d-e6b8b4af68bc,AGENT,Can I have the full address on the account?,en-US,2.4,94.17,3.42,Neutral,39,42,3,1,2025-04-08 02:33:44.539921
9ab2737e-b5fc-4a6e-9f3d-e6b8b4af68bc,CUSTOMER,[REDACTED].,en-US,1.7,93.89,4.4,Neutral,43,48,5,1,2025-04-08 02:33:44.539921
9ab2737e-b5fc-4a6e-9f3d-e6b8b4af68bc,AGENT,Do you have the account number with you?,en-US,2.44,93.19,4.37,Neutral,49,51,2,1,2025-04-08 02:33:44.539921
9ab2737e-b5fc-4a6e-9f3d-e6b8b4af68bc,CUSTOMER,No.,en-US,15.85,56.1,28.05,Neutral,52,53,1,1,2025-04-08 02:33:44.539921
9ab2737e-b5fc-4a6e-9f3d-e6b8b4af68bc,AGENT,"OK, let me go to.",en-US,3.84,71.29,24.88,Neutral,54,56,2,0,2025-04-08 02:33:44.539921
9ab2737e-b5fc-4a6e-9f3d-e6b8b4af68bc,CUSTOMER,I can call back tomorrow doing the working business hours.,en-US,1.67,90.96,7.36,Neutral,55,59,4,2,2025-04-08 02:33:44.539921
9ab2737e-b5fc-4a6e-9f3d-e6b8b4af68bc,AGENT,"Are you sure? I, I can assist.",en-US,2.03,83.39,14.58,Neutral,61,62,1,0,2025-04-08 02:33:44.539921
9ab2737e-b5fc-4a6e-9f3d-e6b8b4af68bc,CUSTOMER,"Um, I didn't realize it was that late.",en-US,25.99,70.39,3.62,Neutral,61,63,2,1,2025-04-08 02:33:44.539921
9ab2737e-b5fc-4a6e-9f3d-e6b8b4af68bc,AGENT,"Yeah, but",en-US,11.79,74.84,13.37,Neutral,64,66,2,0,2025-04-08 02:33:44.539921
9ab2737e-b5fc-4a6e-9f3d-e6b8b4af68bc,CUSTOMER,So I didn't realize it was that late.,en-US,33.89,62.32,3.79,Neutral,65,67,2,0,2025-04-08 02:33:44.539921
9ab2737e-b5fc-4a6e-9f3d-e6b8b4af68bc,AGENT,"No, no, but that's not a problem, like, let me, let me see.",en-US,15.48,58.33,26.19,Neutral,67,71,4,0,2025-04-08 02:33:44.539921
9ab2737e-b5fc-4a6e-9f3d-e6b8b4af68bc,AGENT,**.,en-US,4.72,73.61,21.67,Neutral,71,72,1,4,2025-04-08 02:33:44.539921
9ab2737e-b5fc-4a6e-9f3d-e6b8b4af68bc,AGENT,"OK, I got it, no worries.",en-US,2.61,36.41,60.98,Positive,76,79,3,2,2025-04-08 02:33:44.539921
9ab2737e-b5fc-4a6e-9f3d-e6b8b4af68bc,AGENT,I have the account is ******. It has a past due amount of $**. The payment was due on April *st. Let me see what sort of payment do we have.,en-US,13.39,83.02,3.6,Neutral,81,94,13,6,2025-04-08 02:33:44.539921
9ab2737e-b5fc-4a6e-9f3d-e6b8b4af68bc,AGENT,I have a Bank of Louisiana ending in ****.,en-US,4.47,88.36,7.17,Neutral,100,104,4,2,2025-04-08 02:33:44.539921
9ab2737e-b5fc-4a6e-9f3d-e6b8b4af68bc,CUSTOMER,Yes.,en-US,7.42,58.11,34.46,Neutral,106,107,1,0,2025-04-08 02:33:44.539921
9ab2737e-b5fc-4a6e-9f3d-e6b8b4af68bc,AGENT,"OK, it's in.",en-US,2.62,64.69,32.7,Neutral,107,109,2,2,2025-04-08 02:33:44.539921
9ab2737e-b5fc-4a6e-9f3d-e6b8b4af68bc,AGENT,"Betty Galloway, policy is requesting your authorization today April *, ****. Your electronically debit $** from your account ending in **** on April *, ****. At any time prior to the processing of this payment, you may cancel or remove this authorization by calling us back at AAA.",en-US,5.21,91.77,3.02,Neutral,111,129,18,1,2025-04-08 02:33:44.539921
9ab2737e-b5fc-4a6e-9f3d-e6b8b4af68bc,AGENT,***-****. Do we have your authorization to process this payment today?,en-US,2.19,95.22,2.59,Neutral,130,134,4,2,2025-04-08 02:33:44.539921
9ab2737e-b5fc-4a6e-9f3d-e6b8b4af68bc,CUSTOMER,Yes.,en-US,7.42,58.11,34.46,Neutral,136,137,1,1,2025-04-08 02:33:44.539921
9ab2737e-b5fc-4a6e-9f3d-e6b8b4af68bc,AGENT,Excellent. We process the payment.,en-US,0.45,5.3,94.26,Positive,138,141,3,1,2025-04-08 02:33:44.539921
