CONTACT_ID,SPEAKER_TAG,CAPTION,CALL_LANGUAGE,NEGATIVE,NEUTRAL,POSITIVE,SENTIMENT_LABLE,START_TIME_SECOND,END_TIME_SECOND,TIME_SPOKEN_SECOND,TIME_SILENCE_SECOND,LOAD_DATE
cf6c558b-b662-41df-9bb7-40e6021600ee,AGENT,"Yeah, Jack.",en-US,6.88,67.41,25.71,Neutral,0,0,0,1,2025-04-15 12:50:59.761292
cf6c558b-b662-41df-9bb7-40e6021600ee,CUSTOMER,"Hello, we are not available now. Please call again. Thank you for your call.",en-US,68.81,29.19,2.0,Negative,1,7,6,4,2025-04-15 12:50:59.761292
cf6c558b-b662-41df-9bb7-40e6021600ee,CUSTOMER,Memory full,en-US,3.01,42.04,54.95,Positive,11,12,1,0,2025-04-15 12:50:59.761292
58b60fd8-3994-44c1-8d01-7682c86495a0,CUSTOMER,Your call has been forwarded to an automatic voice message system. Chan.,en-US,1.74,88.37,9.89,Neutral,0,4,4,1,2025-04-15 12:51:02.237195
58b60fd8-3994-44c1-8d01-7682c86495a0,CUSTOMER,"is not available at the tone, please record your message. When you have finished recording you may hang up or press one for more options.",en-US,10.52,85.78,3.7,Neutral,5,14,9,0,2025-04-15 12:51:02.237195
e936dacb-7470-4aca-a330-d51efe4bdda7,CUSTOMER,Hello?,en-US,4.48,79.4,16.11,Neutral,1,2,1,1,2025-04-15 12:51:04.110278
e936dacb-7470-4aca-a330-d51efe4bdda7,AGENT,Closeo carcase.,en-US,5.34,81.19,13.47,Neutral,3,5,2,0,2025-04-15 12:51:04.110278
e936dacb-7470-4aca-a330-d51efe4bdda7,CUSTOMER,Hello.,en-US,2.23,42.53,55.25,Positive,4,5,1,0,2025-04-15 12:51:04.110278
c86ad7f6-73e9-40f7-95f6-ddcb22b110c6,CUSTOMER,Call has been forwarded to an automated voice messaging system.,en-US,2.39,89.15,8.46,Neutral,0,3,3,0,2025-04-15 12:51:06.898935
c86ad7f6-73e9-40f7-95f6-ddcb22b110c6,CUSTOMER,202-758-9684 is not available.,en-US,61.68,36.64,1.67,Negative,3,12,9,1,2025-04-15 12:51:06.898935
c86ad7f6-73e9-40f7-95f6-ddcb22b110c6,CUSTOMER,"At the tone, please record your message. When you've finished recording you may hang up or press one for more options.",en-US,1.37,90.28,8.35,Neutral,13,20,7,0,2025-04-15 12:51:06.898935
593a963b-ac8e-471d-adb5-be38634c0de2,CUSTOMER,Your call has been forwarded to an automated voice messaging system.,en-US,2.52,88.65,8.83,Neutral,0,3,3,1,2025-04-15 12:51:08.638457
593a963b-ac8e-471d-adb5-be38634c0de2,CUSTOMER,202-553-9153 is not available.,en-US,66.71,31.84,1.45,Negative,4,12,8,1,2025-04-15 12:51:08.638457
593a963b-ac8e-471d-adb5-be38634c0de2,CUSTOMER,The mailbox is full and cannot accept any messages at this time. Goodbye.,en-US,75.14,23.49,1.37,Negative,13,17,4,0,2025-04-15 12:51:08.638457
17228774-5087-443d-bf13-5503d010d7e9,CUSTOMER,"I'm sorry, but the person you called has a voicemail box that has not been set up yet.",en-US,73.63,25.48,0.89,Negative,0,5,5,1,2025-04-15 12:51:10.967771
17228774-5087-443d-bf13-5503d010d7e9,CUSTOMER,Goodbye.,en-US,21.59,58.58,19.83,Neutral,6,7,1,0,2025-04-15 12:51:10.967771
496f45e3-02ef-4043-9ce8-7bec1c49251e,CUSTOMER,Hello.,en-US,2.23,42.53,55.25,Positive,0,0,0,1,2025-04-15 12:51:13.211351
496f45e3-02ef-4043-9ce8-7bec1c49251e,AGENT,"Hi, this is Alvario from Position in Sola on a recording line. Can I speak with",en-US,1.53,87.33,11.14,Neutral,1,6,5,0,2025-04-15 12:51:13.211351
9d25c685-c5ca-4f63-afcd-c95f93b1bb83,CUSTOMER,"Your call has been forwarded to voicemail. The person you're trying to reach is not available. At the tone, please record your message. When you have finished recording you may hang up.",en-US,73.08,25.99,0.93,Negative,0,9,9,1,2025-04-15 12:51:15.842784
9d25c685-c5ca-4f63-afcd-c95f93b1bb83,AGENT,Good afternoon. This is Mary calling on behalf of Pathogen and partnership.,en-US,0.47,65.14,34.38,Neutral,10,16,6,1,2025-04-15 12:51:15.842784
9d25c685-c5ca-4f63-afcd-c95f93b1bb83,AGENT,"With EMT Solar I am calling to speak with Christina. When you have time, can you please just give me a call back at 1-88893-[ADDRESS_REDACTED]. Thank you.",en-US,0.9,78.86,20.24,Neutral,17,32,15,0,2025-04-15 12:51:15.842784
77240c4c-37dd-4424-88cc-fadbdac527dd,CUSTOMER,Your call has been forwarded to an automated voice messaging system.,en-US,2.52,88.65,8.83,Neutral,0,3,3,1,2025-04-15 12:51:17.536488
77240c4c-37dd-4424-88cc-fadbdac527dd,CUSTOMER,3109629154 is not available.,en-US,67.61,30.79,1.6,Negative,4,12,8,1,2025-04-15 12:51:17.536488
77240c4c-37dd-4424-88cc-fadbdac527dd,CUSTOMER,The mailbox is full and cannot accept any messages at this time. Goodbye.,en-US,75.14,23.49,1.37,Negative,13,17,4,0,2025-04-15 12:51:17.536488
a30cd39f-a46d-4be2-a871-a3d360d8386d,CUSTOMER,A call has been forwarded to an automated voice messaging system.,en-US,1.98,91.42,6.6,Neutral,0,3,3,0,2025-04-15 12:51:19.575195
a30cd39f-a46d-4be2-a871-a3d360d8386d,CUSTOMER,203-627-3225 is not available.,en-US,61.31,37.21,1.48,Negative,3,12,9,2,2025-04-15 12:51:19.575195
a30cd39f-a46d-4be2-a871-a3d360d8386d,CUSTOMER,The mailbox is full and cannot accept any messages at this time. Goodbye.,en-US,75.14,23.49,1.37,Negative,14,18,4,0,2025-04-15 12:51:19.575195
336b064b-7c5c-441d-9c60-fb3747a3598a,AGENT,No.,en-US,15.85,56.1,28.05,Neutral,0,0,0,4,2025-04-15 12:51:21.632561
336b064b-7c5c-441d-9c60-fb3747a3598a,CUSTOMER,"Hello, you have",en-US,2.05,67.13,30.82,Neutral,4,5,1,0,2025-04-15 12:51:21.632561
e1250ed1-44b0-462e-a13a-4982ab83c5a3,AGENT,Hello?,en-US,4.48,79.4,16.11,Neutral,4,5,1,0,2025-04-15 12:51:23.865174
e1250ed1-44b0-462e-a13a-4982ab83c5a3,CUSTOMER,"Hello, you have reached 215.",en-US,0.61,61.65,37.74,Neutral,4,7,3,0,2025-04-15 12:51:23.865174
ef9b66cd-7329-44d8-8a43-582797708aff,CUSTOMER,Your call has been forwarded to an automated voice messaging system.,en-US,2.52,88.65,8.83,Neutral,0,3,3,1,2025-04-15 12:51:26.137683
ef9b66cd-7329-44d8-8a43-582797708aff,CUSTOMER,Brandon Stewart II.,en-US,2.09,90.54,7.38,Neutral,4,7,3,0,2025-04-15 12:51:26.137683
f74408e7-fc80-4854-bfd2-1236f203ba87,CUSTOMER,A call has been forwarded to an automated voice messaging system.,en-US,1.98,91.42,6.6,Neutral,0,3,3,0,2025-04-15 12:51:27.803028
f74408e7-fc80-4854-bfd2-1236f203ba87,CUSTOMER,2253973715 is not available.,en-US,62.79,35.38,1.82,Negative,3,12,9,1,2025-04-15 12:51:27.803028
