,File,ID,File_Timestamp,File_Date,File_Time,S3_Timestamp,S3_Date,S3_Time,Time_Bin
764,Analysis/Voice/2025/03/05/7fb5379e-56df-4962-91e3-73e52def2e7e_analysis_2025-03-05T23:59:03Z.json,7fb5379e-56df-4962-91e3-73e52def2e7e,2025-03-05 23:59:03,2025-03-05,23:59:03,2025-03-06 00:15:54+00:00,2025-03-06,00:15:54,2025-03-05 22:00:00
1542,Analysis/Voice/2025/03/05/f6358cab-91d6-4492-849b-698c15d0fefd_analysis_2025-03-05T23:58:03Z.json,f6358cab-91d6-4492-849b-698c15d0fefd,2025-03-05 23:58:03,2025-03-05,23:58:03,2025-03-06 00:06:59+00:00,2025-03-06,00:06:59,2025-03-05 22:00:00
903,Analysis/Voice/2025/03/05/954e8a21-9926-4440-84a3-615967f45d27_analysis_2025-03-05T23:56:45Z.json,954e8a21-9926-4440-84a3-615967f45d27,2025-03-05 23:56:45,2025-03-05,23:56:45,2025-03-06 00:04:36+00:00,2025-03-06,00:04:36,2025-03-05 22:00:00
508,Analysis/Voice/2025/03/05/542d5934-5e81-4a6a-8a93-c1102241a237_analysis_2025-03-05T23:50:19Z.json,542d5934-5e81-4a6a-8a93-c1102241a237,2025-03-05 23:50:19,2025-03-05,23:50:19,2025-03-06 00:05:32+00:00,2025-03-06,00:05:32,2025-03-05 22:00:00
456,Analysis/Voice/2025/03/05/4cbf3a07-7638-47da-a190-fe7d537aaa3f_analysis_2025-03-05T23:49:31Z.json,4cbf3a07-7638-47da-a190-fe7d537aaa3f,2025-03-05 23:49:31,2025-03-05,23:49:31,2025-03-06 00:01:51+00:00,2025-03-06,00:01:51,2025-03-05 22:00:00
333,Analysis/Voice/2025/03/05/3821aceb-e9db-449c-968a-900f4bf8594f_analysis_2025-03-05T23:48:06Z.json,3821aceb-e9db-449c-968a-900f4bf8594f,2025-03-05 23:48:06,2025-03-05,23:48:06,2025-03-05 23:56:48+00:00,2025-03-05,23:56:48,2025-03-05 22:00:00
168,Analysis/Voice/2025/03/05/1dd540ed-e0c3-43e2-adc2-515e2d575136_analysis_2025-03-05T23:44:29Z.json,1dd540ed-e0c3-43e2-adc2-515e2d575136,2025-03-05 23:44:29,2025-03-05,23:44:29,2025-03-05 23:51:26+00:00,2025-03-05,23:51:26,2025-03-05 22:00:00
1213,Analysis/Voice/2025/03/05/c48aa285-8600-45c2-bbba-656d96f90021_analysis_2025-03-05T23:42:43Z.json,c48aa285-8600-45c2-bbba-656d96f90021,2025-03-05 23:42:43,2025-03-05,23:42:43,2025-03-05 23:49:01+00:00,2025-03-05,23:49:01,2025-03-05 22:00:00
107,Analysis/Voice/2025/03/05/13c03761-a393-4b02-8504-d4c40ddb48b8_analysis_2025-03-05T23:36:22Z.json,13c03761-a393-4b02-8504-d4c40ddb48b8,2025-03-05 23:36:22,2025-03-05,23:36:22,2025-03-05 23:50:55+00:00,2025-03-05,23:50:55,2025-03-05 22:00:00
874,Analysis/Voice/2025/03/05/90984965-cbc6-4a73-8776-36eaa9477655_analysis_2025-03-05T23:33:32Z.json,90984965-cbc6-4a73-8776-36eaa9477655,2025-03-05 23:33:32,2025-03-05,23:33:32,2025-03-05 23:42:16+00:00,2025-03-05,23:42:16,2025-03-05 22:00:00
871,Analysis/Voice/2025/03/05/9049ab24-4df2-4eb0-ab09-13bc2f4f5990_analysis_2025-03-05T23:31:37Z.json,9049ab24-4df2-4eb0-ab09-13bc2f4f5990,2025-03-05 23:31:37,2025-03-05,23:31:37,2025-03-05 23:37:44+00:00,2025-03-05,23:37:44,2025-03-05 22:00:00
784,Analysis/Voice/2025/03/05/828510d2-1ca8-488c-bd59-a72ff663d45e_analysis_2025-03-05T23:30:20Z.json,828510d2-1ca8-488c-bd59-a72ff663d45e,2025-03-05 23:30:20,2025-03-05,23:30:20,2025-03-05 23:37:22+00:00,2025-03-05,23:37:22,2025-03-05 22:00:00
322,Analysis/Voice/2025/03/05/37211c14-747b-45bb-b116-df4e01b7cff4_analysis_2025-03-05T23:29:45Z.json,37211c14-747b-45bb-b116-df4e01b7cff4,2025-03-05 23:29:45,2025-03-05,23:29:45,2025-03-05 23:40:25+00:00,2025-03-05,23:40:25,2025-03-05 22:00:00
966,Analysis/Voice/2025/03/05/9e46a10a-3b06-472d-95d8-6e11c62214b5_analysis_2025-03-05T23:29:05Z.json,9e46a10a-3b06-472d-95d8-6e11c62214b5,2025-03-05 23:29:05,2025-03-05,23:29:05,2025-03-05 23:39:28+00:00,2025-03-05,23:39:28,2025-03-05 22:00:00
1330,Analysis/Voice/2025/03/05/d581adf1-0b46-44a7-9b35-4a86f11e460f_analysis_2025-03-05T23:28:13Z.json,d581adf1-0b46-44a7-9b35-4a86f11e460f,2025-03-05 23:28:13,2025-03-05,23:28:13,2025-03-05 23:32:44+00:00,2025-03-05,23:32:44,2025-03-05 22:00:00
53,Analysis/Voice/2025/03/05/0b861ae5-459c-46cc-b1d1-e4df37be1ae7_analysis_2025-03-05T23:25:13Z.json,0b861ae5-459c-46cc-b1d1-e4df37be1ae7,2025-03-05 23:25:13,2025-03-05,23:25:13,2025-03-05 23:31:16+00:00,2025-03-05,23:31:16,2025-03-05 22:00:00
393,Analysis/Voice/2025/03/05/4198bf98-97fe-4904-b2a9-64500da2f92d_analysis_2025-03-05T23:25:03Z.json,4198bf98-97fe-4904-b2a9-64500da2f92d,2025-03-05 23:25:03,2025-03-05,23:25:03,2025-03-05 23:31:53+00:00,2025-03-05,23:31:53,2025-03-05 22:00:00
1252,Analysis/Voice/2025/03/05/c9f41676-efe5-4574-84ad-b56969c3bcce_analysis_2025-03-05T23:24:26Z.json,c9f41676-efe5-4574-84ad-b56969c3bcce,2025-03-05 23:24:26,2025-03-05,23:24:26,2025-03-05 23:29:24+00:00,2025-03-05,23:29:24,2025-03-05 22:00:00
872,Analysis/Voice/2025/03/05/90787e88-4e67-49c7-bcf2-9657b063373a_analysis_2025-03-05T23:24:07Z.json,90787e88-4e67-49c7-bcf2-9657b063373a,2025-03-05 23:24:07,2025-03-05,23:24:07,2025-03-05 23:46:36+00:00,2025-03-05,23:46:36,2025-03-05 22:00:00
999,Analysis/Voice/2025/03/05/a28b83e5-c0b7-4de7-b5e2-b739fe25ee5b_analysis_2025-03-05T23:22:28Z.json,a28b83e5-c0b7-4de7-b5e2-b739fe25ee5b,2025-03-05 23:22:28,2025-03-05,23:22:28,2025-03-05 23:28:01+00:00,2025-03-05,23:28:01,2025-03-05 22:00:00
730,Analysis/Voice/2025/03/05/7a1f7b2e-0fa9-42f4-9f9f-f286b7fab866_analysis_2025-03-05T23:21:57Z.json,7a1f7b2e-0fa9-42f4-9f9f-f286b7fab866,2025-03-05 23:21:57,2025-03-05,23:21:57,2025-03-05 23:31:57+00:00,2025-03-05,23:31:57,2025-03-05 22:00:00
